q,Omega,S/k,kT/e,q_cut,C/(Nk)
180,2.513757e+82,189.7337560594843,2.260269463064941,181,99.38225286935466
181,3.916461e+82,190.17716609915658,2.270332340713328,182,99.39636143004772
182,6.089882e+82,190.61860630972305,2.2803937804582,183,99.41028486223077
183,9.450964e+82,191.05809439504281,2.290453801612151,184,99.42402641437171
184,1.463872e+83,191.4956478177025,2.300512423139606,185,99.4375892648636
185,2.263067e+83,191.93128380344402,2.3105696636640918,186,99.45097652035071
186,3.491937e+83,192.36501934549042,2.320625541476302,187,99.46419121978927
187,5.377957e+83,192.79687120877176,2.3306800745416636,188,99.47723633715859
188,8.267178e+83,193.22685593405424,2.3407332805075334,189,99.4901147829446
189,1.268509e+84,193.65498984197512,2.3507851767101777,190,99.5028294037318
190,1.942821e+84,194.08128903698613,2.36083578018163,191,99.51538298521474
191,2.970177e+84,194.50576941120778,2.370885107656714,192,99.52777825462982
192,4.532614e+84,194.92844664819708,2.3809331755792558,193,99.54001788006674
193,6.904604e+84,195.34933622663087,2.3909800001085806,194,99.55210447441823
194,1.049927e+85,195.76845342390737,2.4010255971258316,195,99.56404059588627
195,1.593735e+85,196.1858133196677,2.4110699822396358,196,99.57582874764117
